,0
2,1.5
4,1.5
5,1.5
8,1.25
9,1.5
10,1.25
11,1.0
13,1.25
14,1.0
16,1.0
19,-52.75
20,1.5
22,1.5
23,1.5
24,1.25
25,1.5
26,1.5
27,1.5
28,1.25
30,1.25
31,1.5
33,1.0
34,1.5
35,1.25
36,1.0
37,1.25
40,1.0
41,1.0
42,1.25
44,1.5
45,1.5
46,1.25
50,1.25
55,1.25
56,84.0
59,1.25
61,1.25
62,1.25
64,1.0
65,1.5
66,1.5
67,1.25
68,1.5
69,1.25
70,1.25
71,1.25
72,1.0
73,1.25
74,1.25
75,1.0
77,1.25
78,1.0
79,1.0
80,1.0
84,1.25
85,1.75
86,1.5
87,1.5
90,1.25
92,1.25
93,1.5
94,1.25
95,1.25
96,1.25
97,1.25
98,1.25
99,1.0
100,1.0
102,1.25
103,1.5
105,1.25
106,1.5
107,1.5
110,1.25
111,1.25
113,1.25
114,1.25
115,1.25
116,1.25
117,1.0
118,0.75
119,1.0
126,1.5
127,1.5
128,1.5
129,1.5
130,1.5
131,1.25
132,1.5
133,1.25
136,1.25
138,1.25
139,1.25
140,1.25
141,1.25
142,1.0
144,1.75
145,1.5
146,1.5
147,1.25
149,1.25
150,1.5
151,1.5
156,1.25
159,1.25
160,1.0
162,1.25
163,1.5
164,1.5
165,-197.0
166,1.25
167,1.25
169,1.25
170,1.25
172,1.25
173,1.25
175,1.0
176,0.75
178,1.25
179,1.25
180,1.5
181,1.5
182,1.5
185,1.5
186,1.25
188,1.25
189,1.25
190,1.25
192,1.25
194,0.75
196,1.5
197,1.5
199,1.5
201,1.5
202,1.0
203,1.25
204,1.0
205,1.25
207,1.5
209,1.25
210,1.25
211,1.0
212,1.25
213,1.0
214,1.0
215,1.0
216,1.0
219,1.5
220,1.5
221,1.5
222,1.5
223,1.5
225,1.5
227,1.25
228,1.25
229,1.25
231,1.25
234,1.0
237,1.5
238,1.5
240,1.5
242,1.25
243,1.25
245,1.5
246,1.0
248,1.25
250,1.25
251,1.0
252,1.25
253,1.0
256,1.25
257,1.25
258,1.0
259,1.5
260,1.5
261,1.5
262,1.5
264,1.5
265,1.5
267,1.25
271,1.25
275,1.0
276,1.0
277,1.0
278,1.25
280,3642.5
281,160.25
282,1.0
283,1.25
284,1.0
286,1.5
287,1.5
290,1.5
291,1.5
293,1.25
294,1.5
295,1.25
296,1.25
297,1.0
298,1.0
300,1.0
301,1.25
302,1.0
303,1.25
307,1.5
309,1.5
311,1.5
312,1.25
313,1.25
314,1.25
315,1.0
316,1.25
318,1.0
319,1.0
321,1.5
325,1.5
326,1.5
328,1.25
329,1.25
330,1.25
333,1.25
334,1.0
336,1.0
337,1.0
338,0.75
339,1.75
341,1.25
343,1.5
345,1.5
346,1.5
347,1.5
348,1.5
349,1.25
350,1.25
351,4.25
352,1.25
356,1.25
357,1.25
358,1.0
359,1.0
360,0.75
364,1.5
365,1.25
366,1.25
367,1.25
368,1.5
369,1.25
371,1.25
372,1.25
374,1.0
376,1.0
377,1.25
380,1.0
381,-232.5
382,1.5
383,1.5
384,1.25
387,1.25
388,1.25
389,1.5
390,1.25
391,1.0
393,1.25
394,1.0
395,1.0
397,-352.5
399,1.25
400,1.25
401,1.25
402,1.5
403,1.5
405,1.25
406,1.5
407,1.25
408,1.25
409,171.0
410,1.25
411,1.25
415,1.25
416,1.25
417,1.25
418,1.0
420,1.0
421,1.25
424,1.0
425,1.5
426,1.5
427,1.25
429,1.5
431,1.25
435,1.25
437,1.25
438,1.25
439,1.0
440,1.25
441,1.0
442,1.0
443,1.0
444,1.0
445,0.75
446,1.0
449,1.25
450,1.5
451,1.5
452,1.25
453,1.5
455,1.0
456,1.25
459,1.25
460,1.25
463,1.0
465,1.25
466,1.0
467,1.0
468,1.0
469,1.0
470,1.5
471,1.5
473,1.25
474,1.25
475,1.25
476,1.25
477,1.0
478,1.25
479,1.0
482,1.0
483,0.75
484,1.0
486,1.5
487,1.5
488,1.5
489,1.5
490,1.5
493,1.25
496,1.5
498,1.5
499,1.5
500,1.25
502,-229.75
503,1.25
504,1.25
505,1.25
506,1.25
507,1.0
509,1.25
511,1.5
514,1.5
516,1.5
520,1.25
522,1.25
524,1.25
527,1.0
528,1.5
529,-280.5
530,1.25
531,1.5
532,1.5
533,1.5
534,1.5
536,1.5
537,1.25
538,1.0
539,1.0
540,1.0
541,1.25
544,1.5
545,1.5
548,1.5
551,1.0
552,1.0
553,1.0
554,1.0
556,1.25
558,1.5
560,1.5
561,1.5
562,1.5
564,1.5
565,1.5
567,1.25
570,1.25
572,1.0
573,1.25
577,1.25
580,1.25
581,1.25
582,-201.5
583,1.25
585,1.25
587,1.0
588,1.5
589,1.5
591,1.25
592,1.5
593,1.25
594,1.25
597,1.25
598,1.25
599,1.25
601,1.0
603,1.0
