,0
19,1.5
20,1.5
21,1.5
22,1.5
23,1.25
25,1.25
26,1.25
27,1.25
28,1.25
30,1.25
31,1.25
32,1.0
38,1.75
40,1.5
42,1.5
43,1.5
44,1.25
45,1.75
46,1.5
48,1.25
51,1.5
53,1.0
54,1.5
55,1.5
56,1.5
58,1.25
59,1.25
60,1.25
61,1.5
62,1.25
64,1.25
65,1.25
66,1.5
67,1.25
69,1.0
70,1.25
71,1.25
73,1.0
75,1.75
78,-253.25
81,1.25
83,1.0
84,-253.75
85,1.25
87,1.0
89,1.0
91,1.5
92,1.25
94,1.25
95,1.25
97,1.25
98,1.25
99,1.5
100,1.0
102,1.0
103,1.25
104,1.25
105,1.0
106,1.0
107,1.25
108,1.0
109,1.0
111,1.0
112,1.5
113,1.75
114,1.5
115,1.25
117,1.25
118,1.25
119,1.25
120,1.25
121,1.25
122,1.5
124,1.25
126,1.0
129,1.25
130,1.25
131,1.0
132,1.25
135,1.0
137,1.0
138,1.5
139,1.25
140,1.25
141,1.25
142,1.25
143,1.25
144,1.5
147,1.25
149,1.25
150,1.25
151,1.25
152,1.25
153,1.0
156,1.0
157,0.75
158,1.25
159,80.75
160,1.0
163,1.5
164,1.5
165,1.5
166,1.5
167,1.25
169,1.25
170,1.0
171,1.25
172,1.25
173,1.0
174,1.0
175,1.0
176,1.0
177,1.5
179,1.5
181,1.25
182,1.25
183,1.25
184,-182.25
185,1.25
186,1.25
187,1.25
188,1.25
189,1.0
190,1.25
191,-259.0
192,1.0
193,1.0
194,0.75
195,1.0
196,1.0
197,150.25
199,-1645.0
200,1.5
201,1.75
202,1.5
203,1.5
205,1.5
206,1.25
207,1.25
210,1.25
211,1.25
213,1.0
214,1.25
215,1.25
216,0.75
217,1.5
218,1.5
219,1.25
220,1.25
222,1.25
223,1.25
225,1.25
226,1.5
227,1.25
229,1.0
230,1.0
231,1.0
232,-2459.5
233,1.5
238,1.5
240,1.5
241,1.5
243,1.5
244,1.5
245,1.25
246,1.25
247,1.25
248,1.5
249,1.0
250,1.25
251,1.0
252,1.0
254,1.5
255,1.25
256,1.25
257,1.5
259,1.5
260,1.0
261,1.25
262,-214.5
263,1.25
264,1.0
265,1.0
266,1.25
267,1.25
268,1.0
269,1.25
270,1.0
273,1.5
276,1.5
277,1.5
281,1.25
283,1.5
284,1.25
285,1.0
286,1.25
287,1.5
288,1.75
289,1.25
