,0
13,1.5
14,1.25
17,-252.25
18,1.25
19,1.5
20,1.25
23,1.5
26,1.5
27,1.25
28,1.25
29,1.25
30,1.25
31,1.25
33,1.25
35,25146.25
36,1.25
37,1.5
39,1.25
41,1.25
42,1.25
43,1.25
45,1.0
47,1.0
49,1.0
50,1.25
51,1.0
54,113.5
55,-280.25
56,1.25
58,1.25
60,1.25
61,1.0
64,1.0
65,1.25
67,1.0
69,1.25
70,1.25
71,1.5
72,1.25
73,1.25
75,1.25
76,1.25
77,1.25
79,1.25
81,1.25
83,1.0
84,1.25
85,1.0
86,1.5
88,1.5
89,1.75
91,1.5
92,1.25
93,-215.0
96,1.25
97,1.25
98,1.25
100,1.0
101,1.25
102,1.0
106,1.5
110,1.25
114,1.25
115,1.25
116,1.25
118,1.0
119,1.25
121,1.25
124,1.5
125,1.5
126,1.5
127,1.25
128,1.5
129,1.0
130,1.25
131,1.25
132,1.0
135,1.0
138,1.75
143,1.25
144,1.5
145,1.25
146,1.25
147,1.25
148,1.25
149,1.25
151,1.25
152,1.25
154,1.25
155,1.75
157,1.25
158,1.25
160,1.25
162,1.25
163,1.25
164,1.25
165,1.0
166,1.0
168,1.0
169,1.0
171,1.0
172,1.5
174,1.5
175,1.5
176,1.5
179,1.5
181,1.25
182,1.25
183,1.5
185,1.25
187,1.0
189,1.25
191,1.0
194,1.5
196,1.25
197,1.25
198,1.25
200,1.25
201,1.5
202,1.5
203,1.25
204,1.25
205,1.25
207,1.25
208,1.25
211,1.0
213,1.0
214,1.0
215,1.5
216,1.5
217,1.5
218,1.5
220,1.5
222,1.5
223,1.5
224,1.25
225,1.25
226,1.25
227,1.25
228,1.25
229,1.25
230,1.0
231,1.0
234,1.0
235,1.5
238,1.75
239,1.5
240,1.5
242,1.5
243,1.5
244,1.5
245,1.25
246,1.5
248,1.25
249,1.25
250,1.25
251,1.25
254,1.5
255,1.25
256,1.5
259,1.0
260,1.25
262,1.25
263,1.0
264,1.0
265,1.0
267,1.25
268,1.0
269,1.25
270,1.75
271,1.5
272,1.25
273,1.25
274,1.25
275,1.5
276,-226.0
277,1.25
278,1.25
279,1.0
282,1.0
283,1.5
284,1.5
288,1.25
290,1.25
291,1.25
292,1.0
295,1.25
296,1.25
297,1.25
299,1.25
300,1.0
301,1.0
302,1.0
303,0.75
305,1.5
306,1.25
307,1.25
308,1.25
311,1.25
312,1.25
313,1.25
314,1.25
315,1.0
316,1.0
321,1.25
322,1.5
323,1.25
325,1.5
327,1.0
328,1.5
329,1.25
330,1.25
331,1.25
335,1.0
336,1.5
337,1.5
338,1.5
342,1.5
345,1.25
347,1.0
348,1.25
349,1.0
350,1.25
351,1.0
353,1.0
354,1.25
355,1.5
356,1.5
359,1.5
360,1.5
361,1.25
362,1.25
363,1.25
364,1.25
365,1.25
367,1.0
370,1.25
372,1.25
373,1.75
374,1.5
376,1.75
378,1.25
380,1.25
381,1.5
382,1.25
384,41.5
385,1.25
386,1.25
387,1.0
388,1.25
389,1.0
390,1.0
392,1.0
395,1.25
396,1.25
397,1.5
399,1.25
400,1.25
401,1.25
402,1.25
403,1.25
404,1.0
406,1.25
407,1.0
408,1.0
411,1.25
413,1.0
414,1.0
415,1.0
416,1.25
418,1.0
419,1.25
420,1.0
421,1.25
422,1.0
423,1.0
424,1.5
426,1.5
427,1.25
429,1.25
430,1.5
431,1.5
432,1.5
436,1.25
437,1.25
438,1.25
440,1.0
441,1.0
443,1.5
444,1.25
445,1.0
447,1.0
449,1.0
450,1.0
451,1.0
452,1.0
454,1.5
456,1.25
458,1.25
459,1.5
460,1.25
461,1.25
462,1.25
463,1.5
464,1.25
465,1.0
467,1.25
468,1.0
469,1.0
471,1.25
472,1.0
474,1.25
476,1.25
477,1.25
478,1.5
481,1.5
482,1.25
483,1.5
485,1.25
486,1.0
487,1.0
491,1.0
492,1.0
494,1.5
497,1.5
500,1.5
502,1.25
503,1.25
505,1.25
506,1.0
507,1.25
510,1.25
511,1.25
512,1.25
513,1.0
515,1.0
516,1.0
517,1.0
518,1.5
521,1.25
523,1.5
524,1.25
526,33.5
527,1.5
528,1.0
529,1.25
530,1.25
532,1.5
533,1.25
534,1.25
536,178.5
537,1.0
538,1.25
539,1.25
540,-5839.25
542,1.0
544,0.75
546,1.5
548,1.5
549,1.5
550,1.5
551,1.5
552,1.5
553,1.25
554,1.25
555,1.25
556,1.25
558,1.25
559,1.25
560,1.25
561,1.25
562,1.0
563,1.5
565,1.5
566,1.5
567,1.5
569,1.5
570,1.5
571,1.5
573,1.25
574,1.25
576,1.0
577,1.25
580,1.25
581,1.0
582,1.25
583,1.25
584,1.5
586,1.5
587,1.5
589,1.5
590,1.25
591,1.5
592,-226.0
594,0.75
595,1.0
597,1.0
598,1.0
599,1.0
600,1.0
601,0.75
602,1.5
604,1.25
607,1.25
610,1.25
611,1.25
613,1.5
614,1.0
616,1.25
617,1.25
619,0.75
620,1.0
623,1.25
624,1.25
625,1.5
626,1.5
627,1.5
631,1.25
632,1.25
633,1.0
634,1.0
637,1.0
638,1.0
641,1.5
643,1.75
647,1.5
648,1.5
652,1.25
653,1.25
654,1.0
655,1.0
657,1.0
658,1.25
659,1.25
660,1.0
661,1.5
664,1.5
665,1.5
667,1.25
668,1.5
669,1.5
674,1.0
675,1.0
676,1.0
678,1.0
679,1.5
680,1.5
682,1.25
683,1.25
684,1.25
685,1.25
686,-257.5
688,1.0
689,1.0
690,1.0
691,1.0
692,1.0
693,1.0
695,1.5
696,1.5
697,1.5
698,1.5
699,-199.5
702,1.5
703,1.25
704,1.5
705,1.25
707,1.25
708,1.0
709,1.25
710,1.25
711,1.25
714,1.5
715,1.5
716,1.25
717,1.5
720,1.25
721,1.25
722,1.0
723,1.25
724,1.25
725,1.0
731,0.75
732,1.0
733,1.0
734,0.75
735,1.75
736,1.5
737,1.25
738,1.25
739,1.5
740,1.5
742,1.25
744,1.25
745,1.25
746,1.25
747,1.0
748,1.0
751,1.25
752,1.0
753,1.0
754,1.0
756,1.0
757,1.0
758,1.25
760,1.5
761,1.25
762,1.25
764,1.25
766,1.25
767,1.25
768,1.25
769,1.25
770,1.0
772,1.25
774,1.0
776,1.25
777,1.5
779,1.25
780,1.5
781,1.5
782,1.5
783,1.25
784,1.25
785,1.25
788,1.0
789,1.25
790,1.0
791,1.25
792,1.0
793,1.0
795,1.0
796,1.25
797,1.25
798,1.0
799,1.0
800,1.5
803,1.25
804,1.25
806,1.0
808,1.25
809,1.0
811,1.0
815,0.75
818,1.5
819,1.75
821,1.5
824,1.25
825,1.25
827,1.5
828,1.25
829,1.25
830,1.0
832,1.25
833,1.25
837,1.5
840,1.5
841,1.25
842,1.25
843,1.0
846,1.25
847,1.25
849,1.25
850,1.0
851,0.75
852,1.0
853,1.25
854,-271.0
855,1.5
856,1.5
858,1.25
859,1.25
860,1.25
862,1.25
864,1.25
865,1.0
866,1.0
867,1.0
869,1.0
870,1.0
871,-193.75
874,1.5
875,166.0
876,1.5
878,1.25
880,1.25
882,1.25
884,1.0
888,1.0
891,1.25
892,1.5
893,1.25
895,1.25
896,1.25
897,1.5
898,1.25
900,1.0
901,1.0
902,1.5
904,1.5
905,1.75
906,1.75
907,1.5
908,1.5
909,1.5
912,179.0
913,1.25
917,1.25
918,1.25
919,1.5
922,1.25
923,1.25
925,1.25
927,1.0
928,1.0
929,1.0
930,0.75
931,1.0
933,1.5
934,1.5
935,1.25
936,1.5
938,1.25
939,1.5
940,1.5
941,1.0
943,1.25
944,1.0
945,1.5
946,1.5
947,1.5
948,1.5
949,1.5
950,1.5
951,1.25
952,1.75
955,1.5
956,1.25
957,1.0
958,-273.5
959,1.0
960,1.0
961,1.0
962,1.0
964,1.25
965,1.25
966,1.25
968,1.25
969,1.25
970,1.25
971,1.25
972,1.25
974,1.5
975,1.5
977,1.5
978,1.75
980,1.5
981,1.5
982,1.5
984,1.0
985,1.0
986,1.0
987,1.25
988,1.0
989,1.25
990,1.75
991,1.5
993,1.5
994,1.5
995,1.25
996,1.5
997,1.25
998,1.25
999,1.25
1000,1.0
1001,1.0
1002,1.0
1003,1.5
1005,1.5
1006,1.5
1007,1.5
1008,1.5
1009,1.25
1010,1.25
1011,1.5
1012,1.25
1013,123.5
1016,1.0
1017,1.0
1018,1.25
1019,1.0
1022,1.25
1023,1.25
1024,1.25
1025,1.0
1027,1.5
1028,1.5
1029,1.5
1030,1.75
1033,1.5
1034,1.25
1037,1.25
1038,1.5
1039,1.25
1043,1.25
1045,1.0
1047,1.25
1048,1.0
1049,1.25
1050,1.25
1053,1.75
1055,1.25
1056,1.5
1057,1.5
1058,1.5
1059,1.25
1061,1.0
1062,1.0
1065,1.25
1066,1.0
1069,1.25
1070,1.5
1071,1.25
1073,1.5
1075,1.25
1078,1.25
1079,1.25
1080,1.0
1081,1.0
1085,1.5
1086,1.5
1089,1.25
1090,1.5
1091,1.25
1092,1.25
1093,1.25
1094,1.25
1096,1.25
1097,1.25
1098,1.0
1099,114.0
1100,1.25
1103,1.5
1104,1.5
1105,1.5
1107,1.25
1108,1.25
1109,1.5
1110,1.25
1111,1.5
1112,1.25
1113,1.0
1114,-266.0
1115,1.25
1116,1.0
1117,1.25
1118,1.25
1120,1.0
1121,1.0
1122,1.0
1123,1.25
1124,1.5
1125,1.25
1126,1.5
1127,1.25
1128,1.25
1129,1.25
1130,1.25
1131,1.25
1132,1.25
1136,1.0
1137,1.25
1138,1.0
1139,1.25
1140,1.25
1141,1.0
1142,1.0
1143,1.0
1146,1.5
1148,1.5
1149,1.25
1151,1.25
1152,1.25
1153,1.25
1156,1.25
1157,1.0
1160,1.0
1161,1.0
1162,1.25
1164,1.0
1165,0.75
1166,1.25
1167,1.25
1168,1.25
1170,-274.5
1171,1.5
1173,1.25
1174,1.25
1175,1.25
1176,1.25
1177,1.0
1178,1.25
1181,1.0
1182,1.0
1183,1.0
1184,1.0
1185,1.5
1186,1.5
1187,1.25
1188,1.25
1189,1.25
1190,1.5
1191,1.5
1193,1.25
1194,1.25
1195,1.0
1196,1.0
1197,1.25
1199,1.25
1200,1.25
1201,1.5
1203,1.5
1205,1.5
1206,1.25
1207,1.25
1208,1.25
1211,1.25
1212,1.5
1213,1.25
1216,1.5
1219,1.0
1220,1.5
1221,1.5
1223,1.25
1224,1.5
1226,1.25
1228,1.0
1229,1.5
1230,1.25
1231,1.25
1232,1.0
1233,1.0
1234,1.25
1235,1.25
1237,-167.0
1238,1.0
1239,1.25
1240,1.5
