,0
0,1.5
7,1.25
9,1.25
10,1.25
11,1.25
14,1.0
17,1.0
18,1.25
19,1.25
22,1.0
24,1.25
26,1.0
28,1.25
29,1.5
32,1.75
33,1.5
34,1.5
36,1.25
37,1.25
38,1.25
39,1.25
40,1.25
41,1.25
43,1.25
44,1.5
45,1.25
46,1.5
47,1.75
48,1.25
49,1.5
50,1.5
51,1.5
52,1.5
53,1.5
55,1.0
56,1.25
57,1.0
60,1.75
61,1.5
63,1.5
64,1.5
65,1.25
66,1.25
68,1.25
72,1.25
75,1.25
77,1.25
78,1.5
80,1.25
81,1.5
82,1.25
83,1.25
85,1.25
88,1.25
89,1.25
90,1.25
94,1.5
96,1.25
97,1.25
99,1.5
100,1.25
101,1.5
102,8184.25
103,1.25
104,1.5
105,1.25
106,99.5
108,1.5
109,1.25
110,1.25
112,1.25
115,1.25
116,1.0
117,1.5
119,1.5
120,1.5
121,1.5
123,1.5
125,1.25
126,1.5
127,1.25
129,1.5
130,1.25
132,1.0
133,1.0
135,1.0
136,1.0
137,1.75
138,1.5
139,1.75
142,1.5
143,1.5
145,1.0
146,1.25
147,1.25
149,1.25
150,1.25
152,1.0
153,1.0
154,1.0
156,1.25
158,1.5
160,1.25
161,1.5
162,1.5
163,1.5
164,1.5
165,1.25
166,1.25
167,1.25
168,1.5
169,1.5
170,1.5
173,1.0
175,1.5
176,44.0
180,1.25
182,1.5
184,1.25
186,1.25
187,1.0
188,1.25
191,1.25
192,1.0
193,1.0
194,1.25
196,1.25
198,1.75
200,1.5
201,1.5
202,1.25
203,-4058.25
206,1.25
207,1.5
208,1.25
209,-206.0
210,1.0
212,1.25
214,1.5
216,1.25
217,1.25
218,1.25
220,1.0
221,1.25
223,1.25
224,1.0
225,1.25
229,1.5
232,1.25
233,1.5
234,1.25
235,1.0
236,1.25
238,1.0
239,1.0
241,1.5
242,1.5
243,1.25
245,1.5
246,1.25
247,1.5
248,1.5
249,1.25
251,1.25
253,1.25
254,1.25
255,1.25
256,1.0
257,1.0
258,1.5
259,1.5
261,1.25
262,1.25
263,1.5
266,1.25
267,1.0
270,1.25
271,1.0
272,1.0
275,1.75
277,1.5
278,1.25
279,1.25
280,1.5
281,1.25
283,1.5
284,1.5
285,1.25
286,1.25
287,1.25
289,1.25
290,1.25
291,1.0
292,1.5
293,1.5
298,1.25
299,1.25
301,1.5
302,1.5
303,1.5
304,1.25
308,1.25
309,1.25
310,1.25
312,1.5
315,1.25
316,1.5
317,1.25
319,1.25
320,1.5
321,1.5
324,1.5
325,1.25
326,1.5
327,1.25
328,1.5
329,132.5
330,1.5
335,1.25
336,1.0
337,1.0
341,1.5
342,1.5
343,1.5
344,1.25
346,1.25
347,1.25
348,1.25
350,1.0
352,1.0
353,1.0
354,1.0
357,1.25
358,1.25
360,1.25
361,1.25
362,1.0
363,1.25
366,1.25
367,1.25
368,1.25
370,1.0
371,1.0
372,1.0
374,1.75
375,1.5
376,1.5
377,1.5
378,1.5
379,1.25
380,1.5
381,1.5
384,1.25
385,1.25
388,1.25
389,1.5
391,1.25
395,1.25
396,1.25
397,1.5
398,1.5
399,1.5
400,1.5
402,1.5
405,1.25
406,1.25
407,1.25
408,1.25
410,1.25
412,1.25
413,1.25
415,1.25
416,1.0
418,1.25
419,1.0
420,1.5
421,1.5
422,1.5
423,1.25
425,1.25
426,1.25
429,1.25
430,1.25
431,1.25
433,1.5
436,-195.5
438,1.5
440,1.5
441,1.25
442,1.25
445,1.0
446,1.0
447,1.25
448,1.0
449,1.0
450,1.25
451,1.25
452,1.0
454,1.5
455,1.25
456,-276.5
457,1.25
458,1.25
459,1.25
460,1.0
462,1.25
464,1.25
465,1.25
466,1.0
469,1.25
470,1.0
471,1.25
473,1.5
474,1.5
476,1.25
477,1.25
478,1.25
480,1.5
481,1.25
482,1.5
483,1.25
484,1.25
485,1.25
486,1.0
487,1.25
488,1.25
489,1.25
491,1.0
492,1.0
493,1.25
494,1.0
496,1.5
500,1.25
501,1.25
502,1.5
503,1.0
504,1.5
505,1.5
506,1.0
508,1.25
509,1.25
512,1.25
513,1.0
515,1.25
516,1.5
517,1.5
518,1.5
519,1.5
520,1.5
521,1.5
523,1.25
524,1.25
527,1.0
528,1.0
529,1.0
532,1.25
534,1.5
535,1.5
536,1.25
537,1.25
538,1.5
539,1.5
541,1.25
542,1.5
543,1.25
545,1.25
546,1.0
547,1.25
550,1.25
552,1.5
553,1.75
554,1.25
556,1.25
559,1.25
560,1.25
562,1.25
564,1.0
567,1.75
568,1.5
569,1.25
571,1.25
572,1.25
574,1.25
575,1.25
577,1.25
578,1.0
580,1.25
581,1.25
584,1.25
585,1.25
586,1.5
590,1.0
592,1.25
594,1.25
595,1.25
596,1.25
597,1.0
599,1.0
601,1.5
607,1.25
608,1.5
611,1.5
612,1.25
613,1.0
614,1.25
615,1.0
617,1.25
618,-270.0
621,0.75
623,1.5
625,1.5
627,1.5
631,1.25
633,1.25
634,1.25
636,1.25
637,1.25
638,1.0
639,1.0
640,-218.25
644,1.5
645,1.5
646,1.5
647,1.25
649,1.5
650,1.25
651,1.25
652,1.25
654,1.25
657,1.0
661,1.5
662,1.5
663,1.75
665,1.25
666,1.25
668,1.5
669,1.25
670,1.25
671,-215.25
673,1.25
674,1.25
675,1.25
676,1.25
679,1.25
680,1.5
681,1.25
682,1.5
683,1.25
685,1.0
686,1.25
687,1.0
689,1.5
690,1.0
691,1.25
692,1.25
694,1.5
696,1.75
697,1.5
698,1.5
699,1.25
701,1.25
703,1.25
704,1.25
705,1.25
706,1.0
707,1.0
708,1.75
709,1.5
710,1.75
711,1.75
712,1.75
715,1.25
719,1.25
720,1.25
721,1.25
722,1.25
723,1.25
724,1.25
725,1.0
726,-264.75
727,1.0
728,1.0
729,1.5
731,1.5
732,1.25
736,1.5
737,1.25
740,1.0
741,1.25
742,1.0
743,1.0
744,1.75
745,67.5
747,1.25
749,1.25
750,1.25
751,1.5
753,1.5
754,1.25
755,1.25
756,1.25
758,1.0
759,1.25
760,0.75
762,1.0
764,1.25
765,1.5
767,1.5
768,1.0
769,1.25
772,1.25
773,1.25
774,1.25
775,1.0
776,1.0
779,392.75
780,1.5
781,1.25
782,1.5
783,1.5
786,1.5
787,1.5
788,1.5
789,1.5
790,1.5
793,1.25
794,1.25
795,1.0
797,1.25
798,1.0
800,1.5
802,1.25
803,1.25
804,1.25
805,1.0
806,1.25
809,1.0
811,1.25
812,1.25
814,1.0
816,1.25
818,1.5
819,1.5
820,1.25
822,1.25
825,1.25
826,1.25
828,1.0
829,1.25
830,1.0
831,1.25
833,1.0
839,1.5
840,1.25
841,1.5
842,1.25
843,-244.0
844,1.5
846,1.25
847,1.0
848,1.25
853,1.0
854,1.0
855,1.5
856,1.5
858,1.5
859,1.25
861,1.0
862,1.5
864,1.25
865,1.25
866,1.0
870,1.5
871,1.5
872,5289.75
873,1.25
874,1.5
876,1.5
877,1.25
879,1.25
881,1.25
883,1.25
884,1.5
885,1.0
886,1.25
890,1.5
891,1.25
893,1.5
895,1.25
896,1.25
898,1.25
900,1.25
906,1.25
907,1.0
909,1.25
911,1.5
912,-207.25
914,1.5
915,1.5
916,1.25
917,1.25
919,1.5
920,1.0
921,-277.75
922,1.0
926,1.25
927,0.75
928,1.0
929,1.25
931,1.5
932,1.25
933,1.5
934,1.25
937,1.25
938,1.25
939,1.0
940,1.0
941,1.0
942,1.25
943,1.0
946,1.0
947,1.0
948,2013.75
949,1.5
951,1.5
954,1.5
956,1.5
957,1.5
958,1.5
960,1.25
962,1.25
963,1.0
964,1.0
966,1.5
967,1.5
968,1.5
969,1.25
971,1.5
972,1.25
973,1.25
974,1.5
975,1.25
976,1.25
