,0
14,1.5
15,1.5
16,1.5
17,1.5
18,1.5
19,1.5
20,1.5
22,1.5
23,1.25
24,1.5
27,1.5
28,1.0
31,1.0
35,1.5
36,1.5
39,1.25
41,1.0
42,1.0
43,0.75
44,1.5
45,1.5
46,1.25
47,1.5
48,1.25
49,1.25
50,1.25
51,1.0
52,1.25
53,1.0
54,-213.0
55,1.25
56,1.25
57,1.25
59,1.0
60,1.0
62,1.0
63,1.25
65,1.25
66,1.25
67,1.5
70,1.5
71,1.25
72,1.0
73,1.0
74,1.25
75,1.0
77,1.0
78,1.0
79,1.25
80,1.0
82,1.75
84,1.5
85,1.5
87,1.5
89,1.25
90,1.25
92,1.25
93,1.25
94,1.5
96,1.0
97,1.25
98,1.25
99,1.75
100,1.5
102,1.5
104,1.5
105,1.25
107,1.5
109,1.25
111,1.25
113,1.25
115,1.25
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.25
122,1.25
123,1.5
124,1.5
125,1.5
126,1.5
127,1.25
128,1.25
132,1.25
133,1.25
135,1.25
136,1.25
137,1.0
138,1.0
139,1.0
140,1.0
142,1.25
143,1.0
144,1.0
145,1.25
146,1.5
147,1.25
148,1.75
149,1.5
150,1.25
151,1.5
152,1.25
153,1.5
155,1.25
156,1.5
158,1.5
159,1.25
160,1.25
161,1.5
162,1.0
164,1.25
165,1.25
166,-181.5
167,1.0
169,0.75
170,1.0
171,1.5
173,1.75
174,1.5
175,1.25
177,1.5
179,1.25
180,1.5
183,1.25
185,1.25
186,1.25
187,1.25
188,1.25
189,1.0
190,1.0
191,1.0
193,1.5
194,1.25
195,1.5
196,1.25
197,1.0
198,1.25
199,1.25
200,1.0
201,1.25
203,1.0
204,1.0
207,1.5
208,1.5
209,1.0
210,1.25
211,1.5
212,1.25
213,1.25
214,1.25
217,1.0
218,1.0
220,1.5
221,1.25
223,1.25
224,1.0
228,1.0
230,1.0
231,1.25
232,1.25
233,1.25
234,1.0
235,1.0
236,1.0
237,1.75
238,1.5
239,1.75
241,1.5
243,1.25
244,1.25
245,-121.75
248,1.5
251,1.25
252,1.25
253,1.25
255,1.25
257,1.0
258,1.0
261,1.25
263,1.5
264,1.25
265,1.5
266,1.5
267,1.5
269,1.0
270,1.0
271,1.0
272,1.0
274,1.25
275,1.5
276,1.5
277,1.25
279,1.25
280,1.25
281,1.0
282,1.0
283,1.25
284,1.25
285,1.25
286,1.0
287,1.5
289,1.5
290,1.75
291,1.5
292,63.0
293,1.5
294,-2457.25
296,1.25
297,1.5
298,1.5
300,1.25
301,1.25
302,1.25
303,1.0
305,1.0
306,1.0
307,1.5
308,1.5
310,1.5
312,1.25
315,1.25
316,1.25
318,1.0
319,1.0
321,1.25
323,1.25
324,1.0
326,1.5
327,1.5
329,1.5
330,1.5
331,1.25
332,1.5
333,1.5
336,1.0
337,1.0
338,1.25
339,1.25
341,1.0
342,1.25
343,1.0
344,1.75
345,1.5
346,1.5
348,1.5
349,1.5
350,1.5
351,1.5
353,1.0
355,1.0
356,1.0
358,1.0
359,1.0
360,1.5
361,1.25
363,1.75
364,1.75
365,1.25
366,1.5
369,1.25
370,1.25
371,1.5
372,1.5
373,1.5
374,1.25
375,-220.25
376,1.25
377,1.25
378,1.25
379,1.25
380,1.0
381,1.0
383,1.25
384,1.25
386,1.25
389,1.25
390,1.0
392,1.0
393,0.75
395,1.0
396,1.0
397,1.0
398,1.0
399,1.0
400,-183.5
402,-2940.5
403,1.5
404,1.5
405,102.0
407,1.25
408,1.5
409,1.25
412,1.25
413,93.0
414,1.5
415,1.25
417,1.0
420,1.25
421,1.25
423,1.0
424,1.0
425,1.5
426,1.25
427,1.5
428,1.5
430,1.25
432,1.5
433,1.25
436,1.25
437,1.25
438,1.25
439,1.25
441,1.0
442,1.25
443,1.25
444,1.0
445,1.25
446,1.0
447,1.0
448,1.75
449,1.75
450,1.5
451,1.25
455,1.5
456,1.5
458,1.5
459,1.25
462,1.25
463,1.0
464,1.25
465,1.0
466,1.25
467,1.0
468,1.25
470,1.25
471,1.25
472,1.25
473,1.5
475,1.25
476,1.25
477,1.25
478,1.0
479,1.25
480,1.25
481,-209.0
482,1.25
483,1.0
485,1.5
487,1.5
488,1.5
489,1.25
490,1.0
491,1.25
492,1.25
493,1.5
494,1.25
496,1.0
497,1.25
498,1.25
501,1.75
502,1.75
503,1.5
505,1.5
506,1.5
507,1.5
508,1.5
509,1.5
510,1.25
511,1.25
514,1.5
518,1.25
521,1.25
522,1.25
523,1.0
524,1.0
525,1.25
526,1.5
527,1.5
529,1.5
530,1.5
531,1.25
532,1.25
533,1.25
534,1.5
535,1.25
538,1.25
539,1.0
541,1.0
542,1.25
543,1.0
544,1.0
545,1.0
547,1.0
549,1.25
551,-6863.5
554,1.5
555,1.5
559,1.5
560,1.5
561,1.5
562,1.25
563,1.25
564,1.5
566,1.25
567,1.25
568,1.25
570,1.0
572,1.75
573,1.25
574,1.5
576,1.25
578,1.25
579,1.25
581,1.25
582,1.0
583,1.25
584,1.25
585,1.0
586,1.0
587,1.0
589,1.0
591,1.0
593,1.25
595,1.25
596,1.5
598,1.5
599,1.25
600,1.25
601,1.25
603,1.0
605,1.25
606,1.25
607,1.0
609,1.5
610,1.5
611,1.25
612,1.25
613,1.25
614,1.25
616,1.25
618,1.25
619,1.0
621,1.25
622,1.0
624,1.25
625,1.0
626,1.25
628,1.25
629,1.25
633,1.25
634,1.25
636,1.5
637,1.5
639,1.25
641,1.25
642,1.25
643,1.0
645,1.0
646,1.0
647,1.25
648,1.25
650,1.5
652,1.5
654,1.0
656,1.0
657,0.75
658,1.0
659,0.75
662,1.5
663,1.25
665,1.5
667,1.25
668,1.25
669,1.25
670,-207.25
671,1.25
673,1.25
677,1.0
680,-260.75
681,1.5
682,1.25
683,1.5
684,1.25
685,1.25
686,1.0
687,1.25
688,1.25
689,1.25
690,1.25
691,1.25
692,1.0
693,1.0
694,1.25
696,1.5
698,1.25
700,1.25
701,1.25
702,1.25
704,1.25
705,1.25
706,1.0
707,1.0
709,1.0
710,1.25
711,1.0
712,1.0
714,1.0
716,1.0
717,0.75
718,1.5
719,1.25
722,1.5
723,1.5
727,1.25
728,1.5
730,1.0
731,1.0
734,1.5
735,1.5
736,1.5
738,1.25
739,1.0
740,1.25
741,1.25
742,1.25
746,1.25
747,1.25
748,1.25
749,1.25
750,1.0
751,1.25
753,1.0
755,1.25
756,1.75
757,1.5
759,1.5
760,1.5
761,1.25
762,1.5
763,1.0
764,1.25
766,1.0
767,1.25
768,1.25
770,1.0
771,1.0
772,1.25
774,1.25
775,1.0
776,1.0
780,1.5
781,1.5
782,1.25
783,1.5
784,1.75
785,1.5
786,1.5
787,1.5
788,1.5
789,1.5
792,1.25
794,1.25
795,1.25
797,1.5
802,1.25
805,1.25
806,1.25
807,-276.25
808,1.0
809,1.5
810,1.25
813,1.0
815,1.25
816,1.0
817,1.0
818,1.0
821,0.75
822,1.25
823,1.0
826,1.0
827,1.25
828,1.5
829,1.5
830,1.5
831,1.5
832,1.5
833,1.5
834,1.5
836,1.25
837,1.25
838,1.25
840,128.25
841,1.75
842,1.5
844,1.5
845,1.25
846,1.25
847,1.25
848,1.0
849,1.25
852,1.25
853,1.0
854,1.25
855,1.0
857,1.0
858,1.5
859,1.25
860,1.5
862,1.5
863,1.0
864,1.25
867,1.25
868,1.25
869,1.0
870,1.25
871,1.0
872,1.5
873,1.5
875,1.5
876,1.25
877,1.25
878,1.25
879,1.5
881,1.25
882,1.25
883,1.25
884,1.25
886,1.25
888,1.25
889,1.25
890,1.0
891,1.75
892,1.5
893,1.25
895,1.25
896,1.25
897,1.5
900,1.25
901,1.25
902,1.25
904,1.25
905,1.25
906,1.25
907,1.0
909,1.0
911,1.0
914,1.0
916,1.5
918,1.5
919,1.25
920,1.25
921,1.25
922,1.5
923,1.25
925,1.0
926,1.0
927,1.25
928,1.25
929,1.25
930,1.0
931,1.0
932,1.0
934,1.0
935,1.75
936,1.5
937,1.5
938,1.25
939,1.25
942,1.25
944,1.25
948,1.5
950,-1110.25
951,1.25
952,1.25
953,-200.0
954,1.0
955,1.0
957,0.75
959,1.5
961,1.25
963,1.0
964,1.25
965,1.0
967,1.25
968,-207.75
969,1.0
970,1.0
971,0.75
973,1.25
974,1.25
979,1.5
980,1.25
981,1.0
982,1.25
983,1.25
984,1.0
985,1.25
988,1.5
989,1.5
990,1.5
991,1.5
992,1.25
993,1.25
994,1.25
995,1.25
996,1.25
998,1.0
999,0.75
1001,1.0
1004,1.5
1005,1.25
1006,1.5
1007,1.5
1008,1.25
1009,1.25
1011,1.25
1012,1.25
1013,1.25
1014,1.0
1016,1.0
1017,1.25
1018,1.5
1019,1.5
1020,1.5
1021,1.5
1025,1.5
1027,1.0
1028,1.25
1029,1.25
1030,1.0
1031,1.25
1034,1.25
1036,1.0
1037,1.0
1038,1.0
1040,1.0
1042,1.25
1046,1.25
1048,1.0
1049,1.25
1050,1.0
1052,1.0
1053,1.0
1054,1.0
1055,1.0
1056,1.25
1057,1.25
1060,1.5
1061,1.25
1062,1.25
1064,1.5
1065,1.25
1067,1.0
1070,1.25
1071,1.0
1072,1.0
1075,-726.25
1076,1.5
1077,1.25
1078,1.25
1080,1.25
1081,1.5
1083,1.25
1086,1.0
1087,1.25
1089,1.25
1090,1.5
1091,1.25
1093,1.25
1095,1.25
1096,1.5
1097,1.25
1098,1.5
1099,-248.0
1100,1.0
1101,1.25
1102,1.25
1103,1.25
1104,1.0
1106,1.0
1107,1.0
1108,1.25
1109,1.25
1111,1.25
1112,1.25
1114,1.5
1118,1.25
1121,1.0
1122,1.5
1124,1.25
1126,1.25
1128,1.0
1130,0.75
1131,1.25
1133,1.5
1134,1.5
1136,1.25
1137,1.25
1138,1.5
1139,1.25
1141,1.25
1143,1.25
1144,1.25
1145,1.25
1147,1.25
1148,1.25
1149,1.25
1150,1.0
1152,1.75
1153,1.5
1154,1.5
1155,1.5
1156,1.5
1157,1.25
1158,1.25
1159,1.25
1160,1.5
1161,1.5
1164,1.25
1165,1.5
1166,1.25
1167,1.25
1169,1.0
1171,1.25
1172,1.25
1173,1.0
1178,1.5
1179,1.5
1182,1.5
1183,1.0
1184,1.25
1186,1.0
1187,1.25
1189,1.25
1190,1.25
1192,1.25
1193,1.0
1194,1.0
1196,1.75
1197,1.5
1198,1.5
1199,1.5
1200,1.25
1202,-248.0
1204,1.5
1205,1.25
1206,1.25
1207,1.25
1208,1.25
1209,1.25
1210,1.0
1211,1.0
1212,1.0
1213,1.0
1214,1.0
1216,0.75
1217,1.0
1218,1.5
1219,1.75
1220,1.5
1221,1.25
1222,1.25
1223,1.25
1225,1.25
1226,1.25
1227,1.25
1228,1.0
1229,1.25
1231,1.25
1233,1.0
1234,1.0
1235,1.25
1236,1.0
1237,1.25
1238,1.0
1240,1.5
1241,1.25
1242,1.25
1245,1.5
1246,1.0
1247,1.25
1248,1.25
1252,-161.25
1253,1.5
1254,1.5
1256,1.5
1258,1.5
1259,1.25
1261,1.25
1262,1.5
1263,1.25
1264,1.0
1266,1.5
1267,1.25
1268,1.25
1269,1.25
1271,1.25
1275,1.5
1276,1.5
1277,1.5
1278,1.25
1279,1.25
1280,1.25
1281,1.25
1284,1.25
1285,1.25
1286,1.0
1287,-228.75
1288,1.0
1289,1.25
1290,0.75
1292,1.0
1293,1.25
1294,1.25
1296,1.25
1300,1.25
1301,1.5
1304,1.0
1305,1.25
1307,1.25
1308,1.0
1310,0.75
1311,1.25
1314,1.5
1316,1.5
1317,1.25
1319,1.25
1320,1.5
1321,1.25
1324,1.0
1328,1.5
1329,1.75
1330,1.5
1331,1.5
1332,1.5
1333,1.25
1334,1.5
1337,1.5
1338,1.25
1340,1.5
1341,1.25
1342,1.25
1343,1.0
1344,1.25
1345,1.0
1346,1.25
1350,1.25
1351,-197.0
1352,1.25
1354,1.25
1355,1.25
1356,1.5
1357,1.25
1359,1.25
1360,1.25
1363,1.25
1364,1.25
1365,1.5
1366,1.75
1367,1.75
1368,1.5
1369,1.5
1370,1.5
1372,1.25
1373,1.25
1374,1.0
1375,1.25
1378,1.0
1379,1.75
1380,1.5
1381,1.5
1385,1.25
1386,1.25
1388,1.5
1389,1.25
1391,1.25
1392,1.0
1395,1.25
1396,1.0
1397,1.0
1398,1.25
1399,1.0
1401,1.0
1402,1.0
1404,1.5
1405,1.5
1406,1.5
1407,1.5
1408,1.5
1409,1.25
1410,1.0
1411,1.25
1412,1.25
1414,1.25
1415,1.0
1416,1.0
1417,1.5
1418,1.25
1419,1.25
1420,1.25
1422,1.25
1424,1.25
1425,1.25
1428,1.0
1430,1.0
1431,1.25
1432,1.25
1434,1.5
1435,1.5
1436,1.5
1437,1.5
1441,1.25
1442,1.25
1444,1.5
1445,1.25
1446,1.5
1447,1.0
1451,1.5
1452,-234.75
1453,1.25
1454,1.25
1455,1.5
1457,1.5
1458,1.25
1459,1.0
1460,1.25
1461,1.0
1462,1.25
1463,1.25
1464,1.0
1468,1.0
1470,1.5
1472,1.5
1473,1.5
1474,1.25
1475,1.5
1477,1.25
1479,1.25
1480,1.25
1481,0.75
1482,1.0
1483,1.25
1484,1.0
1486,1.25
1487,1.0
1489,1.75
1490,1.5
1491,1.5
1492,1.5
1493,1.5
1494,-245.0
1495,1.5
1496,1.5
1497,1.25
1498,1.25
1500,1.25
1501,1.25
1503,1.25
1504,1.0
1507,1.0
1510,1.5
1515,1.25
1516,1.5
1517,1.25
1518,1.0
1519,1.25
1520,1.0
1521,1.25
1522,1.25
1525,1.25
1526,1.25
1528,1.25
1530,1.25
1531,1.25
1535,1.0
1536,0.75
1538,1.75
1540,1.25
1541,1.5
1543,1.5
1544,1.5
1546,1.5
1547,1.25
1548,1.25
1549,1.25
1551,1.25
1552,1.25
1554,1.25
1555,1.0
1557,1.25
1558,1.25
1559,1.0
1562,1.25
1563,1.25
1565,1.0
1566,1.0
1568,1.25
1569,1.0
1571,1.5
1572,1.25
1574,1.25
1575,1.0
1576,1.25
1578,1.25
1579,1.0
1580,1.0
1585,0.75
1586,-246.5
1587,1.75
1589,1.5
1590,1.5
1591,1.25
1597,1.25
1598,1.25
1600,1.25
1601,1.0
1602,1.0
1603,1.0
1606,1.25
1608,1.25
1611,1.25
1612,1.25
1614,1.25
1615,1.5
1616,1.5
1617,1.5
1618,1.5
1619,1.5
1620,1.5
1621,1.25
1623,1.5
1624,1.25
1625,1.0
1628,1.25
1630,1.0
1631,1.25
1632,1.25
1635,1.5
1636,1.5
1637,1.25
1639,1.25
1641,1.25
1642,1.0
1643,1.0
1644,1.25
1645,163.75
1646,1.0
1647,1.0
1648,1.0
1649,1.25
1650,1.5
1651,1.25
1653,1.25
1654,1.25
1655,1.25
1656,1.25
1657,1.25
1659,1.0
1661,1.25
1662,1.0
1663,1.0
1664,1.0
1667,1.5
1668,1.25
1669,1.25
1671,1.5
1672,1.25
1673,1.25
1676,1.5
1677,1.25
1682,1.5
1684,1.25
1685,1.25
1687,1.5
1688,1.0
1689,1.5
1690,1.25
1691,1.5
1693,1.0
1694,1.25
1696,1.0
1697,0.75
1699,1.5
1700,1.25
1701,1.5
1702,1.25
1703,1.5
1705,1.25
1706,1.25
1708,1.0
1710,1.25
1711,1.0
1712,1.25
1713,1.25
1715,1.25
1716,1.25
1717,1.0
1718,1.5
1721,1.25
1722,1.25
1723,1.0
1725,1.25
1727,1.0
1729,1.25
1730,1.0
1731,1.25
1732,1.25
1734,1.25
1736,1.5
1737,1.5
1738,1.5
1739,1.5
1740,1.5
1741,1.5
1743,1.25
1744,1.25
1748,1.0
1749,1.25
1754,1.5
1755,1.75
1756,1.5
1759,1.25
1762,1.25
1763,1.25
1764,1.0
1768,1.5
1769,1.5
1771,1.5
1773,1.25
1774,1.25
1777,1.5
1778,1.5
1779,1.5
1780,1.25
1782,1.25
1784,1.25
1785,1.0
1786,1.0
1788,1.0
1790,1.5
1793,1.25
1794,1.5
1797,1.5
1798,1.25
1799,1.25
1800,1.5
1801,1.25
1802,1.5
1803,1.25
1804,1.25
1805,1.25
1807,1.25
1808,1.75
1809,1.5
1810,1.5
1811,1.5
1813,1.25
1817,1.25
1818,1.25
1819,1.0
1820,1.0
1822,1.25
1823,1.0
1825,1.25
1827,1.0
1829,-239.0
1830,1.5
1831,1.5
1832,1.25
1833,1.25
1834,1.25
1835,1.25
1836,1.0
1837,1.0
1838,1.0
1840,1.0
1842,-201.75
1843,0.75
1844,1.0
1845,0.75
1846,1.5
1847,1.5
1849,1.5
1851,1.5
1852,1.25
1854,1.25
1857,1.25
1861,1.0
1862,1.25
