,0
1,1.25
2,1.75
3,1.25
24,1.25
25,1.5
27,1.25
28,1.25
30,1.25
31,1.25
32,1.25
33,1.5
35,1.25
37,1.25
38,1.0
41,1.5
42,1.25
43,1.25
44,1.5
46,1.5
47,1.5
48,1.5
49,1.5
51,1.5
52,1.25
54,1.25
57,1.25
59,1.5
60,1.25
61,1.25
62,1.25
64,1.25
65,1.25
66,1.25
68,1.25
70,1.25
71,1.25
72,1.25
73,1.0
74,1.25
75,1.25
76,1.25
78,1.5
80,1.5
82,1.75
83,1.5
84,1.25
85,1.5
86,1.25
88,1.25
90,1.0
91,1.0
92,1.25
95,1.25
100,1.5
102,1.5
104,1.25
105,1.0
106,1.5
107,1.25
108,1.25
109,1.0
110,1.0
111,1.0
112,1.5
113,1.5
114,1.5
116,1.5
117,1.5
118,1.25
119,1.5
120,1.25
121,1.25
122,1.0
123,1.25
124,1.0
126,1.0
127,1.0
128,1.0
129,1.5
130,1.5
131,1.5
132,1.5
134,1.25
135,1.5
136,1.5
139,1.25
140,1.5
141,1.5
142,1.5
143,1.5
144,1.25
145,1.25
147,1.0
148,1.25
150,1.25
151,1.5
152,1.25
153,1.5
154,1.25
155,1.25
156,1.25
157,1.25
158,1.25
159,1.25
160,1.0
163,1.0
164,1.25
165,1.5
166,1.25
170,1.25
171,1.25
172,1.0
174,1.25
177,1.0
178,1.25
180,1.0
183,1.5
185,1.25
186,1.25
187,1.25
188,1.25
189,1.25
191,1.25
193,1.25
196,1.0
198,1.0
199,1.0
201,1.25
203,-233.0
204,1.0
206,1.5
207,1.5
209,1.5
210,1.5
211,1.5
212,1.25
215,1.25
216,1.0
217,1.25
218,1.25
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
227,1.5
230,1.25
231,1.5
232,1.5
233,1.5
234,1.25
235,1.25
236,1.25
237,1.0
239,1.0
240,1.25
241,1.0
242,1.5
243,-267.75
245,1.5
246,1.25
247,1.25
248,1.25
249,1.25
250,1.0
252,1.25
253,1.0
254,1.25
255,1.0
256,1.0
258,1.5
259,1.25
260,1.5
261,1.5
264,1.25
265,1.25
267,1.25
268,1.25
270,1.25
271,1.25
272,1.0
273,-1209.75
274,1.5
275,-248.75
277,1.5
278,1.25
279,1.25
280,1.25
284,-214.75
285,1.25
286,1.0
287,1.0
288,0.75
289,1.25
290,1.0
292,1.5
293,1.5
294,1.75
295,1.5
296,1.5
299,1.25
301,1.25
303,1.0
304,1.25
305,1.25
306,1.5
307,1.0
311,1.5
312,1.5
313,1.5
314,1.5
315,1.5
317,1.5
318,1.25
319,1.25
321,1.25
323,1.0
324,1.25
325,1.25
326,1.0
327,1.0
328,1.0
330,1.5
333,1.25
335,1.0
336,1.25
337,0.75
338,1.0
339,1.0
340,1.25
341,1.0
343,-195.75
344,1.0
345,1.0
347,1.75
348,1.75
352,1.25
353,1.25
357,1.25
359,1.25
360,1.0
361,1.0
362,1.25
363,1.25
364,1.0
366,1.25
368,0.75
370,1.0
371,1.0
373,1.5
375,1.25
376,1.5
377,1.25
378,1.5
380,1.25
382,1.0
383,1.25
384,1.0
385,1.25
386,1.25
388,1.25
389,1.5
390,1.25
391,-254.25
392,1.5
394,1.5
395,1.25
396,1.5
397,1.5
398,1.25
399,1.5
400,1.25
401,1.0
402,1.0
404,1.0
405,1.25
407,1.5
408,1.25
409,1.5
410,1.5
411,1.5
413,1.25
414,1.25
416,1.5
417,1.0
418,1.0
419,1.25
422,1.25
424,1.0
426,1.5
427,1.5
428,1.25
430,1.5
433,1.5
434,1.25
435,1.25
436,1.25
438,1.25
439,1.0
440,1.0
441,1.0
442,1.0
443,1.0
444,1.5
445,1.5
447,1.5
449,1.5
453,1.25
454,1.25
456,1.25
457,1.25
458,1.25
459,1.0
460,1.0
461,1.0
462,1.0
463,1.5
464,1.5
465,1.5
466,1.25
467,1.25
468,1.5
470,1.5
473,1.25
477,1.25
478,1.0
479,1.0
481,-183.5
483,1.5
484,1.5
485,1.5
486,1.5
488,1.25
489,1.25
490,1.25
491,1.0
492,1.25
493,1.0
494,1.25
498,1.25
499,1.0
500,1.0
501,1.0
502,1.25
504,1.5
505,1.5
506,1.5
507,1.25
508,1.25
509,1.5
510,1.25
514,1.25
515,1.0
516,1.0
517,1.0
518,1.25
519,1.0
520,1.5
521,1.5
522,1.5
524,1.5
525,1.5
526,1.5
527,1.5
528,1.5
529,1.25
530,1.25
531,1.25
533,1.25
535,1.0
536,1.0
537,1.25
542,1.5
543,1.25
544,1.25
545,1.5
546,1.25
547,1.25
548,1.25
549,1.5
551,1.0
552,1.25
554,0.75
556,1.0
559,124.0
560,1.5
561,1.5
562,1.25
563,1.25
566,1.25
567,1.25
568,1.25
569,1.25
570,1.25
571,1.25
572,1.0
573,1.0
574,1.0
