,0
3,1.75
5,1.5
7,1.5
9,1.5
10,1.25
15,1.0
18,1.25
26,13.0
27,1.25
28,1.5
31,1.5
32,1.25
33,1.25
34,1.25
35,1.25
36,1.25
40,1.25
41,1.25
42,1.25
44,113.5
45,1.0
46,1.25
48,1.0
49,29.25
50,1.75
51,1.5
53,1.5
54,1.75
57,1.25
59,1.25
60,1.25
61,-201.5
62,1.0
65,1.25
66,1.0
67,1.25
68,1.0
69,1.25
70,1.25
73,1.25
76,1.5
77,1.25
78,1.25
81,1.0
82,1.0
84,1.0
86,1.0
87,1.0
88,0.75
90,-254.75
91,1.5
93,1.5
94,1.25
97,1.25
98,1.25
99,1.25
101,1.25
102,1.25
105,1.25
106,1.25
107,1.25
109,1.25
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.75
118,1.75
121,1.25
124,1.25
125,1.25
126,1.25
129,0.75
130,1.0
133,1.25
135,1.5
136,1.5
137,1.5
138,1.5
139,1.5
140,1.5
141,1.5
144,1.0
145,1.25
146,1.0
148,1.0
150,1.25
152,1.25
153,1.0
154,1.0
155,1.75
157,1.5
158,1.25
159,1.5
162,1.5
163,1.5
164,1.25
165,1.25
166,1.25
167,1.5
168,1.25
170,1.25
172,1.0
173,1.0
175,1.5
176,1.25
178,1.5
179,1.25
182,1.25
184,1.25
185,1.25
186,1.25
187,1.25
189,1.25
190,1.25
191,1.25
194,1.5
195,1.25
196,1.0
197,1.25
199,1.0
200,1.0
202,1.25
203,1.0
204,1.0
206,-218.5
207,1.25
210,1.25
211,1.0
212,1.0
213,1.0
214,1.0
216,1.5
217,1.5
218,1.5
220,66.25
221,122.25
223,1.5
224,1.25
225,1.5
226,1.25
227,1.5
228,1.25
229,1.25
230,1.25
234,1.25
236,1.75
237,1.5
242,1.5
244,30.25
245,1.5
246,105.25
248,1.25
250,1.0
251,1.25
252,1.0
254,1.5
255,1.5
256,1.5
257,1.5
258,1.5
259,1.25
260,1.25
262,1.5
265,1.0
267,1.5
268,1.0
269,1.0
272,1.5
273,1.5
274,1.5
276,1.25
277,1.5
278,1.25
280,1.25
282,1.25
283,1.25
284,1.25
285,1.25
286,1.25
288,1.75
292,1.5
293,1.0
294,1.0
295,1.25
296,1.25
297,1.25
298,1.25
299,1.0
301,1.25
302,1.0
303,1.5
304,1.5
305,1.5
306,1.5
309,71.75
310,1.25
311,1.25
312,1.25
313,1.5
314,1.25
315,1.5
316,1.25
317,1.25
319,-183.25
320,1.0
321,1.5
322,1.25
323,1.5
326,1.5
327,1.5
328,1.5
329,1.25
330,1.25
332,1.25
333,1.25
334,1.25
335,1.25
337,1.25
340,69.5
343,0.75
345,1.5
347,1.25
348,1.5
349,1.5
350,1.5
351,1.5
352,1.0
353,1.25
355,1.0
356,1.25
358,1.0
361,1.5
362,1.5
363,1.5
364,1.0
370,1.25
371,1.25
372,1.25
373,1.25
374,1.0
375,1.0
377,1.5
378,1.25
379,1.25
380,1.25
381,-267.0
382,1.0
383,1.25
385,1.25
386,1.0
387,1.25
388,1.25
391,1.0
393,1.0
394,0.75
395,1.25
396,1.5
397,1.25
400,1.0
402,1.0
403,1.25
404,1.0
405,1.0
406,1.0
407,1.0
408,1.0
410,1.0
411,1.0
412,1.25
414,1.5
415,1.5
416,1.25
418,1.25
420,1.25
422,1.25
423,1.25
424,1.0
425,1.25
426,1.25
427,1.25
428,1.25
430,1.5
431,1.75
432,1.25
433,1.25
434,1.75
435,1.25
436,1.5
438,1.25
439,1.25
440,1.25
441,1.25
443,1.0
444,1.0
445,1.0
446,1.5
447,1.5
448,1.75
449,1.5
450,1.75
451,1.5
452,1.5
453,1.25
454,1.25
455,1.5
456,1.25
460,-205.0
461,1.0
462,1.0
464,1.0
466,1.5
470,1.5
472,1.25
473,1.5
474,1.25
475,1.5
478,1.25
479,1.25
481,1.25
482,1.25
484,1.0
485,1.0
486,1.5
487,1.5
495,1.0
497,0.75
498,1.0
501,1.25
502,1.25
503,1.25
504,1.25
505,1.25
507,1.0
508,1.0
509,1.25
510,1.0
511,1.0
512,1.0
513,1.0
515,1.25
516,1.75
517,1.5
519,1.25
521,1.25
522,1.25
523,1.25
524,1.25
525,1.0
526,1.25
527,1.25
528,1.0
529,1.0
530,1.0
531,1.0
533,1.25
534,1.25
536,1.25
538,1.25
539,1.25
541,1.25
542,1.25
543,1.25
544,1.0
546,1.25
547,1.0
549,1.0
550,1.0
551,1.0
552,1.0
556,1.5
557,1.5
558,1.25
559,1.5
560,1.5
561,1.25
564,1.5
565,1.25
566,1.25
568,1.25
569,1.0
570,1.0
571,1.0
573,1.5
574,1.5
575,1.5
577,1.25
578,1.25
579,1.25
580,1.25
581,1.25
582,1.0
584,1.25
585,1.25
592,1.5
593,1.5
594,1.5
595,1.5
596,1.25
597,1.25
598,1.25
600,1.25
601,1.5
602,1.25
606,1.5
608,1.5
609,1.25
610,1.25
611,1.25
612,1.25
613,1.25
615,1.5
616,1.25
617,1.5
620,1.25
622,1.0
623,1.25
624,0.75
629,0.75
630,1.5
631,1.5
633,1.5
634,1.25
635,1.0
636,1.25
639,1.0
640,0.75
641,1.0
642,1.25
643,0.75
644,1.5
645,1.75
646,1.25
649,1.25
650,1.25
651,1.5
652,1.5
653,1.25
654,1.25
655,1.25
656,1.25
659,1.5
660,1.25
662,1.0
664,1.25
666,1.5
667,1.5
668,1.0
669,1.25
670,1.25
671,1.25
672,1.0
674,1.25
676,1.75
679,1.5
680,1.25
682,1.25
683,1.5
684,1.25
686,1.5
687,1.25
689,1.25
691,1.0
692,1.0
693,1.0
694,0.75
695,1.5
696,1.25
698,1.25
699,1.5
700,1.5
701,1.25
702,1.25
703,1.25
705,1.25
706,1.25
711,1.5
715,1.25
716,1.25
718,1.0
721,1.0
724,1.25
725,1.25
726,1.25
727,1.0
730,1.5
731,1.25
732,1.5
733,1.25
734,1.25
735,1.25
737,1.0
738,1.25
739,1.5
740,1.0
742,1.5
743,1.25
745,1.75
746,1.5
747,1.5
748,1.5
751,-229.0
753,1.25
754,1.25
755,1.0
756,1.0
757,1.25
758,1.25
759,1.0
760,1.25
761,1.5
762,1.5
763,1.5
764,1.5
765,1.5
767,1.5
768,1.5
769,1.25
770,1.25
771,1.25
772,1.25
773,1.0
774,1.25
775,1.0
776,1.0
777,1.25
778,1.25
779,1.0
782,1.75
783,1.5
785,1.5
786,1.5
789,1.25
792,1.5
794,1.5
795,1.25
796,1.25
797,1.25
798,1.25
799,1.25
802,1.25
803,1.5
804,1.25
805,1.5
806,1.25
807,1.5
809,1.25
810,1.25
812,1.5
813,1.0
816,1.0
818,1.0
819,1.25
820,1.25
821,1.0
822,1.5
823,1.25
824,1.5
825,1.25
826,1.25
827,1.25
828,1.25
829,1.0
831,1.0
832,1.0
833,1.0
835,1.75
836,1.5
837,1.5
838,1.5
839,1.75
840,1.5
841,1.25
843,1.25
846,1272.0
847,1.5
848,1.25
849,1.5
851,-3393.25
852,1.25
853,1.25
854,1.25
855,1.25
856,1.25
857,1.0
859,1.0
860,1.0
861,1.25
862,1.25
865,1.5
866,1.25
868,1.25
869,1.25
870,1.25
876,1.0
878,1.0
879,1.75
880,-261.75
881,1.25
882,1.5
883,1.5
885,1.5
888,1.5
889,1.25
890,1.5
891,1.5
892,1.25
896,1.25
898,1.0
900,1.0
902,1.25
903,1.5
905,1.5
906,1.5
907,1.5
910,1.5
911,1.25
913,1.0
915,1.25
916,-221.5
919,1.25
921,1.5
922,1.25
925,1.5
926,1.25
928,1.25
929,1.5
930,1.25
932,1.0
933,1.0
934,1.5
936,1.5
937,1.5
938,1.5
939,1.25
940,1.25
941,1.0
942,1.0
943,1.25
944,1.25
945,1.0
946,1.0
947,1.0
948,1.25
949,1.25
952,1.5
955,1.5
956,1.25
957,1.5
958,1.5
959,1.25
960,1.25
961,1.25
962,1.5
963,1.5
964,1.25
966,1.25
968,1.25
970,1.25
971,1.25
973,1.0
974,1.0
975,1.75
977,1.5
978,1.5
980,1.5
981,1.25
982,1.5
983,1.5
984,1.5
988,-200.75
989,1.25
991,1.5
992,1.0
993,1.25
996,1.25
997,1.0
998,1.25
999,1.0
1000,1.5
1001,1.5
1002,1.75
1004,1.5
1006,1.25
1008,1.25
1009,1.25
1010,1.25
1011,1.5
1012,1.25
1013,70.5
1014,1.25
1016,1.25
1017,1.25
1019,1.25
1021,1.0
1024,1.0
1025,1.0
1027,1.0
1029,1.5
1030,1.5
1031,1.25
1032,1.75
1033,1.5
1035,1.25
1036,1.25
1037,-220.5
1038,1.25
1040,1.25
1041,1.25
1042,1.25
1044,1.0
1045,1.25
1046,1.25
1047,1.25
1048,1.0
1049,1.25
1050,0.75
1051,0.75
1052,1.0
1053,1.0
1055,1.75
1057,-210.5
1059,1.75
1061,1.5
1062,1.25
1063,1.25
1068,1.5
1070,1.25
1071,1.0
1072,1.0
1073,1.25
1074,1.0
1075,1.0
1077,1.5
1078,1.25
1080,1.5
1081,1.5
1082,1.5
1083,1.25
1084,1.25
1085,1.25
1086,1.25
1087,1.25
1089,1.25
1092,-275.5
1093,1.5
1094,1.5
1095,1.5
1096,1.5
1098,1.25
1099,1.0
1102,1.0
1103,1.0
