,0
748,1.5
750,1.75
751,1.5
752,1.5
754,1.25
756,1.5
757,1.5
758,1.5
759,1.25
760,1.5
761,1.25
763,1.25
764,-277.5
765,1.25
766,1.25
768,1.0
770,1.5
772,1.25
773,1.5
774,1.5
778,1.25
779,1.25
780,1.25
781,1.5
782,1.0
783,1.25
784,1.0
785,1.25
786,1.0
787,1.25
788,1.25
789,1.0
790,1.25
791,1.0
792,1.0
794,1.5
796,1.5
797,1.5
798,1.25
800,1.25
801,1.25
802,1.25
803,1.25
804,1.0
805,1.25
806,1.5
807,1.5
808,1.25
809,1.25
811,1.25
812,1.25
813,1.25
814,1.25
815,1.25
816,1.0
818,1.0
819,1.0
820,1.75
822,1.5
823,1.5
825,1.25
826,1.25
828,1.25
829,1.25
832,1.25
833,1.25
834,1.25
836,1.0
839,1.25
840,1.0
841,1.5
844,1.5
846,1.5
847,1.5
849,1.5
850,1.5
852,1.25
853,1.25
854,1.25
856,1.0
857,1.25
858,1.0
859,1.25
861,0.75
862,1.25
865,1.5
866,1.5
867,1.25
868,1.25
870,1.25
871,1.5
872,1.25
873,1.25
874,-274.75
875,1.25
876,1.25
877,1.0
878,1.25
880,1.0
881,1.5
882,1.5
883,1.5
886,1.25
887,1.25
888,1.25
889,1.0
890,1.0
891,1.25
893,1.0
894,1.5
895,1.25
897,1.25
898,1.25
901,1.0
902,1.25
903,1.0
907,1.25
909,1.0
910,1.25
911,1.25
912,1.25
913,1.5
914,1.25
915,1.0
917,1.25
918,1.25
919,1.25
920,1.0
921,1.0
922,1.0
925,1.0
926,1.5
928,1.5
929,1.25
930,1.25
931,1.5
932,1.25
935,1.25
937,1.0
938,1.25
939,1.0
940,1.25
941,1.0
942,1.0
943,1.0
944,1.0
945,0.75
948,1.75
949,1.5
950,1.25
951,1.25
952,1.25
954,1.5
956,1.25
957,1.25
958,1.25
959,1.25
960,1.0
961,1.25
962,1.0
963,1.25
964,1.0
965,1.0
967,1.0
969,1.5
970,1.25
971,1.25
975,1.25
977,1.25
978,1.25
981,1.25
982,1.0
983,1.25
987,1.5
988,1.25
991,1.25
993,1.25
996,1.25
997,1.25
998,1.25
1000,1.25
1001,1.5
1002,1.25
1003,1.25
1004,1.25
1008,1.75
1009,1.25
1010,1.5
1011,1.25
1012,1.25
1013,1.25
1015,1.0
1018,1.25
1020,1.5
1022,1.5
1023,1.5
1025,1.25
1026,-774.25
1028,1.0
1029,-6850.0
1031,1.0
1032,1.0
1033,1.25
1034,1.25
1036,1.25
1039,1.75
1041,1.5
1042,1.5
1043,1.75
1045,1.5
1046,1.5
1047,1.25
1048,1.5
1049,1.25
1052,1.0
1053,1.0
1056,1.5
1057,1.5
1061,1.5
1062,1.5
1063,1.25
1064,1.25
1065,1.25
1070,1.0
1071,144.5
1072,1.25
1073,84.0
1075,1.25
1076,1.0
1077,1.0
1078,1.75
1079,134.75
1080,1.5
1081,1.25
1082,1.5
1084,1.25
1087,1.25
1088,1.25
1089,1.25
1090,1.25
1091,1.0
1092,1.25
1096,1.25
1097,1.25
1101,1.5
1102,1.5
1105,1.25
1106,1.25
1107,1.0
1108,1.25
1110,1.0
1111,1.25
1112,1.0
1114,1.0
1116,1.0
1117,0.75
1118,1.5
1120,1.5
1121,1.5
1122,1.25
1126,1.25
1128,1.25
1129,1.25
1131,1.5
1134,1.5
1135,1.25
1137,1.5
1138,1.0
1139,1.25
1140,1.5
1142,1.0
1143,1.0
1144,1.25
1145,1.0
1146,1.5
1147,1.5
1149,1.5
1150,1.25
1153,1.25
1154,1.25
1155,1.25
1156,1.25
1157,1.25
1160,1.0
1161,1.0
1163,1.25
1164,0.75
1165,1.5
1167,1.25
1168,1.25
1170,1.25
1171,1.25
1172,1.25
1173,1.25
1175,1.25
1177,1.25
1179,1.25
1181,1.0
1182,1.0
1183,1.5
1184,1.5
1185,1.25
1188,1.5
1190,1.25
1191,1.25
1193,1.0
1194,1.0
1195,1.0
1196,1.0
1197,1.0
1199,1.25
1201,1.5
1202,1.5
1203,1.5
1205,1.5
1211,1.25
1212,1.25
1214,1.0
1215,1.25
1218,1.25
1219,1.0
1221,1.75
1222,1.25
1223,1.5
1224,1.25
1227,1.25
1229,1.0
1231,1.25
1232,1.5
1234,1.0
1235,1.25
1236,1.25
1237,1.0
1240,1.25
1242,1.5
1243,1.5
1244,1.5
1245,1.25
1246,1.25
1247,1.25
1248,1.25
1250,1.25
1254,1.25
1256,1.25
1257,1.25
1258,1.0
1260,1.0
1262,1.5
1263,1.25
1264,1.25
1265,1.5
1266,1.25
1267,1.25
1268,1.25
1269,1.25
1272,1.0
1273,1.0
1276,1.0
1277,1.0
1279,1.5
1280,1.5
1281,1.5
1282,1.5
1284,1.75
1285,1.5
1287,1.5
1288,1.5
1289,1.5
1290,1.5
1291,1.25
1292,1.5
1293,1.5
1294,1.25
1297,1.0
1298,1.0
1299,1.5
1302,1.5
1303,1.25
1304,1.5
1307,1.25
1309,1.25
1311,1.25
1314,83.75
1315,1.0
1317,1.0
1318,1.0
1319,1.5
1320,1.5
1321,1.25
1322,1.25
1323,1.5
1324,1.25
1325,1.25
1329,1.0
1330,1.0
1331,1.25
1332,1.25
1333,1.0
1335,1.25
1337,1.5
1338,1.5
1339,1.25
1343,1.25
1344,1.25
1347,1.0
1348,1.0
1349,1.0
1351,1.25
1352,1.0
1354,1.5
1355,1.5
1356,1.5
1358,1.5
1359,1.5
1360,1.5
1361,1.5
1363,1.25
1364,1.0
1365,1.25
1366,1.25
1367,1.5
1368,1.25
1371,1.0
1372,1.0
1373,1.0
1374,1.25
1375,1.5
1379,1.25
1380,1.5
1381,1.5
1382,1.25
1384,1.25
1385,1.25
1386,1.0
1387,1.25
1388,1.25
1389,1.0
1390,1.0
1391,1.25
1392,1.0
1394,1.0
1395,1.0
1396,1.5
1398,1.25
1400,1.0
1401,1.25
1402,1.0
1404,1.25
1406,1.0
1407,1.25
1408,1.25
1409,1.0
1411,1.0
1412,1.0
1415,1.5
1416,1.5
1418,1.25
1419,1.25
1421,1.25
1422,1.25
1423,1.25
1424,1.25
1425,1.25
1427,1.0
1428,1.0
1429,1.0
1430,1.0
1431,1.0
1432,1.25
1433,1.25
1434,1.5
1435,1.5
1438,1.25
1439,1.25
1440,1.0
1441,1.0
1442,1.0
1443,1.25
1444,1.0
1445,1.0
1446,1.0
1448,1.0
1449,1.0
1450,1.5
1454,1.5
1455,1.25
1456,1.25
1458,1.5
1460,1.25
1461,1.25
1462,1.25
1464,1.0
1465,1.5
1466,1.25
1469,1.5
1472,1.5
1474,1.25
1476,1.25
1477,1.25
1480,1.0
1481,1.0
1484,1.0
1485,1.5
1486,1.75
1488,1.5
1489,1.5
1491,1.5
1493,1.25
1494,1.0
1495,1.25
1496,1.25
1497,1.0
1498,1.0
1499,1.0
1500,1.0
1501,1.0
1502,1.0
1503,1.5
1505,1.5
1507,1.5
1509,1.5
1510,1.5
1511,1.5
1512,1.25
1513,1.25
1517,1.5
1518,1.25
1519,1.5
1521,1.5
1522,1.5
1524,1.5
1526,1.25
1527,1.5
1528,1.25
1529,1.5
1530,1.0
1532,1.25
1534,1.25
1535,1.5
1536,1.5
1537,1.25
1538,1.5
1539,1.25
1540,1.25
1543,1.0
